Nome da Unidade Escolar;Endereço
31 de Março ;Rua Pedro Pinheiro, 385
Adalberto Nascimento ;Rua Adalberto Maia, 235
Adalberto Prado e Silva  ;Rua dos Arapanés, s/n
Adiwalde de Oliveira Coelho  ;Rua Castro Alves, 204
Adriana Cardoso;Rua Luiza Augusta Garlipe, s/n
Alberto Martins   ;Rua Ercilio Dos Santos Filho, 18
Alberto Medaljon  ;Rua Cons. Leôncio Carvalho, s/n
Ana Rita Godinho Pousa ;Rua Benedita Franco Gomes, 165
André Fort  ;Avenida Paulo Provenza Sobrinho, 552
Aníbal de Freitas  ;Rua 1ª de Março, 38
Antonio Carlos Couto de Barros ;Rua Agenor Augusto do Nascimento, 1 
Antonio Vilela Júnior  ;Rua Conselheiro Gomide, s/n
Artur Segurado ;Av. Brasil, 2080
Ary Monteiro Galvão   ;Rua Lafayete A. de S. Camargo, 380
Ataliba Nogueira  Barão ;Rua Cássio Ciampolini, 76
Benedito Sampaio  ;Rua Delfino Cintra, s/n
Bernardo Caro;Rua do Hipismo, 100
Carlos Araújo Pimentel  ;Rua dos Jivaros, 35
Carlos Francisco de Paula  ;Rua Laranjal Paulista, 395
Carlos Gomes ;Av. Anchieta, 80
Carlos Lencastre  ;Rua Antonio Grigoleto, 88
Castinauta B. M. Albuquerque ;Rua Orlando de Oliveira, s/n
Castorina Cavalheiro Dona  ;Rua Prefeito Passos, 95
Cecília Pereira   ;Rua Serra do Umbuzeiro, 649
CEEJA Jeanete Anade Godoy A Martins;Rua Dos Nhambiquaras, s/n
CEEJA Paulo Decourt;Rua Amélia Bueno de Camargo, s/n
Consuelo  Freire Brandão  ;Av. Artur Leite de Barros Jr, 128
Coriolano Monteiro  ;Rua Luiz Chiodetto, 470
Cristiano Volkart ;Praça Paul Harris, 105
Culto à Ciência ;Rua Culto a Ciência, 422
Dante Alighieri Vita   ;Rua Cyrenia Arruda Camargo, 163
Djalma Octaviano  ;Rua Willian Booth, s/n
Dora Maria M. C. Kanso  ;Av. Prof Emílio Coelho, s/n
Eunice Virgínia Ramos Navero ;Rua Alceu Amoroso Lima, 188
Fabio Faria de Syllos   ;Rua Brig. Rafael Aguiar, s/n
Felipe Cantusio ;Rua Custodio J.Rodrigues, 269
Firmino Gonçalves da Silveira ;Rua Paris, 700
Francisco Alvares;Estrada da Rhodia, 4000
Francisco Barreto Leme ;Rua Antonio Nunes Felipe, 51
Francisco Glicério ;Avenida Moraes Sales, 988
Geraldo de Rezende Barão ;Rua Gerônimo Pattaro, s/n
Guido Segalho ;Avenida Paschoal C. Soares, s/n
Gustavo Marcondes ;Avenida Padre Almeida Garret, 787
Hercy Moraes  ;Avenida Paulo Provenza Sobrinho, 1450
Hildebrando Siqueira  ;Rua Sylvio Di Marzio, s/n
Hilton Federici  ;Rua Eduardo Modesto, 91
Humberto de Campos;Rua Irmã Serafina, 674
João Lourenço Rodrigues  ;Rua Dr. Emílio Ribas, 710
João Nery;Rua Erasmo Braga, 555
Joaquim Ferreira Lima  ;Rua Prof. João N.Ferraz Fº, 30
José Maria Matosinho ;Praça Paulo José Octaviano, s/n
José Pedro de Oliveira ;Rua Albino de Oliveira, s/n
José Vilagelim Neto  ;Rua Dom Luiz Antonio de Souza, 89
Júlia Luiz Ruete ;Rua Hiléia, s/n
Leonor Zuhlke Falson  ;R João Rodrigues Serra, s/n
Luis Gonzaga de Moura;R. Carlos Francheu, 100
Luiz Gonzaga Horta Lisboa ;Rua Ângelo Esteves, s/n
Marechal Mallet ;Rua Monte Libano, 267
Maria Alice Colevati Roigues ;Av. Independência, s/n
Maria de Lourdes Bordini  ;Rua Tito de Carvalho, s/nº
Mário Natividade   ;Rua Cons. João Alfredo, 400
Moacyr Santos Campos ;Rua Comandante Ataliba Eurides Vieira, 1030
Newton Silva Teles   ;Rua  Dos Iguás, 4
Orosimbo Maia ;Av. Andrade Neves, 214
Regina Coutinho Nogueira ;Rua Nuno Alvares Pereira, 180
Roque de Magalhães Barros ;Av. Martinho Lauer Filho, 410
Sebastião Ramos Nogueira ;Rua Cândido Mota, 80
Sergio Pereira Porto Físico ;Rua Cecília Meirelles, 228
Sophia Velter Salgado  ;Rua Salvador Lombardi Netto, 380
Telêmaco Paioli Melges  ;Rua Antônio Fagotto, s/n
Thomás Alves  ;Rua Conselheiro  Antonio Prado, 160
Uacury Ribeiro de Assis Bastos ;R. Maria Salomé Braz, 80
Vitor Meirelles ;Rua Espirito Santo, 67
Vitorio José Antonio Zamarion ;Rua  Dr. Osvaldo Anhert, s/n
Washington José de Lacerda ;Rua Nazareno Mingone, 42
Wilson Brandão Tóffano  ;Rua Ernesto Carlos Reimann, s/n
Anna Calvo de Godoy   ;Rua Goiás, 70
Celso Henrique Tozzi  ;R. Mal. Floriano Peixoto, 261
Júlia Calhau Roigues  ;Rua Roraima, 55
