Nome da Unidade Escolar;Endereço;Latitude;Longitude
31 de Março ;Rua Pedro Pinheiro, 385;-228.533.546;-471.100.327
Adalberto Nascimento ;Rua Adalberto Maia, 235;-228.829.758;-470.586.101
Adalberto Prado e Silva  ;Rua dos Arapanés, s/n;-228.542.357;-470.729.176
Adiwalde de Oliveira Coelho  ;Rua Castro Alves, 204;-228.832.729;-470.588.028
Adriana Cardoso;Rua Luiza Augusta Garlipe, s/n;-228.462.375;-471.077.101
Alberto Martins   ;Rua Ercilio Dos Santos Filho, 18;-229.303.001;-471.231.988
Alberto Medaljon  ;Rua Cons. Leôncio Carvalho, s/n;-228.988.314;-470.247.169
Ana Rita Godinho Pousa ;Rua Benedita Franco Gomes, 165;-228.775.097;-470.431.278
André Fort  ;Avenida Paulo Provenza Sobrinho, 552;-229.274.874;-471.049.779
Aníbal de Freitas  ;Rua 1ª de Março, 38;-228.883.101;-470.635.116
Antonio Carlos Couto de Barros ;Rua Agenor Augusto do Nascimento, 1 ;-228.891.122;-469.784.821
Antonio Vilela Júnior  ;Rua Conselheiro Gomide, s/n;-229.106.067;-470.679.466
Artur Segurado ;Av. Brasil, 2080;-228.794.091;-470.761.415
Ary Monteiro Galvão   ;Rua Lafayete A. de S. Camargo, 380;-22.895.746;-471.065.882
Ataliba Nogueira  Barão ;Rua Cássio Ciampolini, 76;-229.022.573;-470.988.369
Benedito Sampaio  ;Rua Delfino Cintra, s/n;-228.999.484;-470.716.543
Bernardo Caro;Rua do Hipismo, 100;-228.350.421;-471.450.313
Carlos Araújo Pimentel  ;Rua dos Jivaros, 35;-228.585.356;-470.640.347
Carlos Francisco de Paula  ;Rua Laranjal Paulista, 395;-229.272.287;-470.909.447
Carlos Gomes ;Av. Anchieta, 80;-234.983.732;-464.467.729
Carlos Lencastre  ;Rua Antonio Grigoleto, 88;-22.909.629;-471.123.347
Castinauta B. M. Albuquerque ;Rua Orlando de Oliveira, s/n;-228.486.929;-471.225.846
Castorina Cavalheiro Dona  ;Rua Prefeito Passos, 95;-22.893.597;470.665.779
Cecília Pereira   ;Rua Serra do Umbuzeiro, 649;-229.158.302;-470.363.223
CEEJA Jeanete Anade Godoy A Martins;Rua Dos Nhambiquaras, s/n;-228.613.703;-470.701.778
CEEJA Paulo Decourt;Rua Amélia Bueno de Camargo, s/n;-22.856.456;-470.449.538
Consuelo  Freire Brandão  ;Av. Artur Leite de Barros Jr, 128;-229.317.499;-470.958.557
Coriolano Monteiro  ;Rua Luiz Chiodetto, 470;-229.299.608;-470.313.373
Cristiano Volkart ;Praça Paul Harris, 105;;
Culto à Ciência ;Rua Culto a Ciência, 422;-229.014.211;-470.681.175
Dante Alighieri Vita   ;Rua Cyrenia Arruda Camargo, 163;-228.575.736;-470.413.869
Djalma Octaviano  ;Rua Willian Booth, s/n;-229.183.305;-471.041.044
Dora Maria M. C. Kanso  ;Av. Prof Emílio Coelho, s/n;;
Eunice Virgínia Ramos Navero ;Rua Alceu Amoroso Lima, 188;-228.436.852;-470.221.653
Fabio Faria de Syllos   ;Rua Brig. Rafael Aguiar, s/n;;
Felipe Cantusio ;Rua Custodio J.Rodrigues, 269;;
Firmino Gonçalves da Silveira ;Rua Paris, 700;-22.858.889;-470.359.338
Francisco Alvares;Estrada da Rhodia, 4000;-228.073.548;-470.780.611
Francisco Barreto Leme ;Rua Antonio Nunes Felipe, 51;-228.904.314;-469.432.155
Francisco Glicério ;Avenida Moraes Sales, 988;-229.064.775;-470.562.372
Geraldo de Rezende Barão ;Rua Gerônimo Pattaro, s/n;;
Guido Segalho ;Avenida Paschoal C. Soares, s/n;;
Gustavo Marcondes ;Avenida Padre Almeida Garret, 787;-2.287.433;-470.636.166
Hercy Moraes  ;Avenida Paulo Provenza Sobrinho, 1450;-22.926.826;-471.072.384
Hildebrando Siqueira  ;Rua Sylvio Di Marzio, s/n;;
Hilton Federici  ;Rua Eduardo Modesto, 91;-22.818.047;-470.916.928
Humberto de Campos;Rua Irmã Serafina, 674;-22.904.046;-470.566.748
João Lourenço Rodrigues  ;Rua Dr. Emílio Ribas, 710;-228.994.683;-470.501.418
João Nery;Rua Erasmo Braga, 555;-22.894.423;-470.782.199
Joaquim Ferreira Lima  ;Rua Prof. João N.Ferraz Fº, 30;;
José Maria Matosinho ;Praça Paulo José Octaviano, s/n;;
José Pedro de Oliveira ;Rua Albino de Oliveira, s/n;;
José Vilagelim Neto  ;Rua Dom Luiz Antonio de Souza, 89;;
Júlia Luiz Ruete ;Rua Hiléia, s/n;-229.194.918;-47.024.213
Leonor Zuhlke Falson  ;R João Rodrigues Serra, s/n;-228.841.292;-471.111.683
Luis Gonzaga de Moura;R. Carlos Francheu, 100;-228.848.028;-470.452.185
Luiz Gonzaga Horta Lisboa ;Rua Ângelo Esteves, s/n;-22.813.504;-470.340.294
Marechal Mallet ;Rua Monte Libano, 267;-228.875.973;-470.827.793
Maria Alice Colevati Roigues ;Av. Independência, s/n;-228.237.837;-470.909.386
Maria de Lourdes Bordini  ;Rua Tito de Carvalho, s/nº;;
Mário Natividade   ;Rua Cons. João Alfredo, 400;-229.095.488;-471.106.885
Moacyr Santos Campos ;Rua Comandante Ataliba Eurides Vieira, 1030;-228.520.563;-470.380.201
Newton Silva Teles   ;Rua  Dos Iguás, 4;-228.610.595;-470.678.387
Orosimbo Maia ;Av. Andrade Neves, 214;-229.041.489;-470.692.214
Regina Coutinho Nogueira ;Rua Nuno Alvares Pereira, 180;-228.688.069;-470.405.261
Roque de Magalhães Barros ;Av. Martinho Lauer Filho, 410;-228.239.901;-470.985.006
Sebastião Ramos Nogueira ;Rua Cândido Mota, 80;-229.173.119;-47.080.056
Sergio Pereira Porto Físico ;Rua Cecília Meirelles, 228;-229.828.781;-471.191.923
Sophia Velter Salgado  ;Rua Salvador Lombardi Netto, 380;;
Telêmaco Paioli Melges  ;Rua Antônio Fagotto, s/n;-228.489.707;-471.475.021
Thomás Alves  ;Rua Conselheiro  Antonio Prado, 160;-228.786.286;-470.703.661
Uacury Ribeiro de Assis Bastos ;R. Maria Salomé Braz, 80;;
Vitor Meirelles ;Rua Espirito Santo, 67;-229.198.701;-470.817.442
Vitorio José Antonio Zamarion ;Rua  Dr. Osvaldo Anhert, s/n;-229.124.112;-470.966.118
Washington José de Lacerda ;Rua Nazareno Mingone, 42;-229.319.607;-470.873.837
Wilson Brandão Tóffano  ;Rua Ernesto Carlos Reimann, s/n;-229.231.509;-471.005.462
Anna Calvo de Godoy   ;Rua Goiás, 70;-229.222.539;-470.730.724
Celso Henrique Tozzi  ;R. Mal. Floriano Peixoto, 261;-228.200.369;-470.923.099
Júlia Calhau Roigues  ;Rua Roraima, 55;;
