Nome da Unidade Escolar;Endereço;Latitude;Longitude
31 de Março ;Rua Pedro Pinheiro, 385;-22.8528314;-47.1080605
Adalberto Nascimento ;Rua Adalberto Maia, 235;-22.8830796;-47.0535495
Adalberto Prado e Silva  ;Rua dos Arapanés, s/n;-22.8548063;-47.0720737
Adiwalde de Oliveira Coelho  ;Rua Castro Alves, 204;-22.8804835;-47.0586452
Adriana Cardoso;Rua Luiza Augusta Garlipe, s/n;-22.8458811;-47.1072229
Alberto Martins   ;Rua Ercilio Dos Santos Filho, 18;-22.9293972;-47.1213982
Alberto Medaljon  ;Rua Cons. Leôncio Carvalho, s/n;;
Ana Rita Godinho Pousa ;Rua Benedita Franco Gomes, 165;-22.87796;-47.0412655
André Fort  ;Avenida Paulo Provenza Sobrinho, 552;-22.9278343;-47.1151299
Aníbal de Freitas  ;Rua 1ª de Março, 38;;
Antonio Carlos Couto de Barros ;Rua Agenor Augusto do Nascimento, 1 ;-22.8885545;-46.9760181
Antonio Vilela Júnior  ;Rua Conselheiro Gomide, s/n;-22.9122849;-47.0653699
Artur Segurado ;Av. Brasil, 2080;-22.8921802;-47.0618998
Ary Monteiro Galvão   ;Rua Lafayete A. de S. Camargo, 380;;
Ataliba Nogueira  Barão ;Rua Cássio Ciampolini, 76;-22.9029523;-47.0987274
Benedito Sampaio  ;Rua Delfino Cintra, s/n;-22.9006374;-47.0634785
Bernardo Caro;Rua do Hipismo, 100;-22.8337177;-47.142736
Carlos Araújo Pimentel  ;Rua dos Jivaros, 35;-22.8588753;-47.0612683
Carlos Francisco de Paula  ;Rua Laranjal Paulista, 395;-22.9267097;-47.0891757
Carlos Gomes ;Av. Anchieta, 80;-22.9021395;-47.0570379
Carlos Lencastre  ;Rua Antonio Grigoleto, 88;-22.9098138;-47.1098231
Castinauta B. M. Albuquerque ;Rua Orlando de Oliveira, s/n;-22.8494641;-47.1185485
Castorina Cavalheiro Dona  ;Rua Prefeito Passos, 95;-22.893706;-47.0617794
Cecília Pereira   ;Rua Serra do Umbuzeiro, 649;-22.9148478;-47.0314557
CEEJA Jeanete Anade Godoy A Martins;Rua Dos Nhambiquaras, s/n;-22.8615895;-47.0673295
CEEJA Paulo Decourt;Rua Amélia Bueno de Camargo, s/n;;
Consuelo  Freire Brandão  ;Av. Artur Leite de Barros Jr, 128;;
Coriolano Monteiro  ;Rua Luiz Chiodetto, 470;-22.9264816;-47.0278686
Cristiano Volkart ;Praça Paul Harris, 105;;
Culto à Ciência ;Rua Culto a Ciência, 422;-22.9014211;-47.0681175
